date;Argentina;Bolivia;Brasil;Chile;Colombia;Costa Rica;Cuba;Rep. D;Ecuador;El Salvador;Guatemala;Honduras;México;Nicaragua;Panama;Paraguay;Perú;Uruguay;Venezuela
2021-01-01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2021-01-02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2021-01-03;NA;NA;NA;NA;NA;0,05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2021-01-04;0,09;NA;NA;0,05;NA;NA;NA;NA;NA;NA;NA;NA;0,03;NA;NA;NA;NA;NA;NA
2021-01-05;NA;NA;NA;0,05;NA;NA;NA;NA;NA;NA;NA;NA;0,04;NA;NA;NA;NA;NA;NA
2021-01-06;NA;NA;NA;0,06;NA;NA;NA;NA;NA;NA;NA;NA;0,04;NA;NA;NA;NA;NA;NA
2021-01-07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,05;NA;NA;NA;NA;NA;NA
2021-01-08;0,24;NA;NA;NA;NA;0,19;NA;NA;NA;NA;NA;NA;0,05;NA;NA;NA;NA;NA;NA
2021-01-09;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,06;NA;NA;NA;NA;NA;NA
2021-01-10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,06;NA;NA;NA;NA;NA;NA
2021-01-11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,07;NA;NA;NA;NA;NA;NA
2021-01-12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,07;NA;NA;NA;NA;NA;NA
2021-01-13;0,37;NA;NA;0,08;NA;NA;NA;NA;NA;NA;NA;NA;0,15;NA;NA;NA;NA;NA;NA
2021-01-14;NA;NA;NA;0,10;NA;NA;NA;NA;NA;NA;NA;NA;0,26;NA;NA;NA;NA;NA;NA
2021-01-15;0,44;NA;NA;0,11;NA;0,49;NA;NA;NA;NA;NA;NA;0,32;NA;NA;NA;NA;NA;NA
2021-01-16;NA;NA;0,00;0,11;NA;NA;NA;NA;NA;NA;NA;NA;0,36;NA;NA;NA;NA;NA;NA
2021-01-17;NA;NA;0,00;0,11;NA;NA;NA;NA;NA;NA;NA;NA;0,37;NA;NA;NA;NA;NA;NA
2021-01-18;NA;NA;0,00;0,17;NA;0,58;NA;NA;NA;NA;NA;NA;0,38;NA;NA;NA;NA;NA;NA
2021-01-19;NA;NA;0,01;0,27;NA;NA;NA;NA;NA;NA;NA;NA;0,39;NA;0,00;NA;NA;NA;NA
2021-01-20;0,55;NA;0,01;0,28;NA;NA;NA;NA;NA;NA;NA;NA;0,39;NA;0,00;NA;NA;NA;NA
2021-01-21;0,59;NA;0,06;0,33;NA;NA;NA;NA;0,00;NA;NA;NA;0,43;NA;0,06;NA;NA;NA;NA
2021-01-22;0,62;NA;0,12;0,33;NA;NA;NA;NA;0,00;NA;NA;NA;0,48;NA;0,12;NA;NA;NA;NA
2021-01-23;0,64;NA;0,25;0,33;NA;NA;NA;NA;NA;NA;NA;NA;0,48;NA;0,13;NA;NA;NA;NA
2021-01-24;0,65;NA;0,28;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,49;NA;0,15;NA;NA;NA;NA
2021-01-25;0,65;NA;0,33;0,34;NA;0,94;NA;NA;NA;NA;NA;NA;0,50;NA;NA;NA;NA;NA;NA
2021-01-26;0,68;NA;0,40;0,35;NA;NA;NA;NA;NA;NA;NA;NA;0,51;NA;NA;NA;NA;NA;NA
2021-01-27;0,70;NA;0,53;0,35;NA;NA;NA;NA;NA;NA;NA;NA;0,51;NA;NA;NA;NA;NA;NA
2021-01-28;0,73;NA;0,68;0,35;NA;NA;NA;NA;0,02;NA;NA;NA;0,51;NA;NA;NA;NA;NA;NA
2021-01-29;0,76;NA;0,78;0,35;NA;NA;NA;NA;NA;NA;NA;NA;0,51;NA;NA;NA;NA;NA;NA
2021-01-30;0,81;NA;0,94;0,35;NA;NA;NA;NA;NA;NA;NA;NA;0,52;NA;NA;NA;NA;NA;NA
2021-01-31;NA;NA;0,98;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2021-02-01;0,83;NA;1,00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
